name,research_areas,Marinho,Áreas Degradadas,Ecologia Geral,Ecologia Humana,Educação Ambiental,Espeleologia,Espécies Exóticas,Fauna,Flora,Funga,Genética,Geologia e Solo,Gestão de Unidades,Hidrologia,História Natural e Arqueologia,Paleontologia,Poluição,Recursos Econômicos,Saúde,Turismo
PARNA do Pantanal Mato-Grossense,17,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
PARNA do Pau Brasil,14,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1
PARNA do Pico da Neblina,17,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
PARNA do Rio Novo,10,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1
PARNA do Superagui,17,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
PARNA do Viruá,15,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
PARNA dos Campos Amazônicos,15,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
PARNA dos Campos Ferruginosos,9,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1
PARNA dos Campos Gerais,15,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
PARNA dos Lençóis Maranhenses,17,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
PARNA Grande Sertão Veredas,16,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
PARNA Guaricana,12,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1
PARNA Mapinguari,15,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
PARNA Marinho das Ilhas dos Currais,13,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1
PARNA Marinho de Fernando de Noronha,18,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PARNA Marinho dos Abrolhos,16,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
PARNA Montanhas do Tumucumaque,17,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
PARNA Nascentes do Lago Jari,13,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1
PARNA Serra da Mocidade,13,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1
PARNA Serra de Itabaiana,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
